Environment,SarCategory,Response,date,LocationFindLocationLatitude,LocationFindLocationLongitude
Marine,Cat1,SAROP,2013-10-01,-36.8620815,175.1843199
Land,Cat1,SAROP,2019-02-01,-39.288889,174.082778
Land,Cat1,SAROP,2016-02-01,-43.24951,170.205112
Land,Cat1,SAROP,2011-12-01,-37.0000001,175.3499992
Land,Cat1,SAROP,2013-11-01,-40.4803947,175.5166566
Land,Cat1,SAROP,2018-04-01,-38.142868,176.224237
Land,Cat1,SAROP,2013-10-01,-39.5266704,176.8641725
Land,Cat1,SAROP,2010-12-01,-45.188464,169.31438
Land,Cat2,SAROP,2016-12-01,-44.276651,168.889818
Land,Cat1,SAROP,2017-11-01,-45.840668,170.493572
Land,Cat1,SAROP,2014-12-01,-36.8873326,174.785925
Land,Cat1,SAROP,2013-02-01,-40.82287876,172.9003869
Marine,Cat1,SAROP,2018-05-01,-37.404612,175.957162
Land,Cat1,SAROP,2016-02-01,-39.2809354,174.0713131
Marine,Cat1,SAROP,2016-07-01,-36.599817,174.811252
Land,Cat1,SAROP,2010-08-01,-46.050923,170.190775
Land,Cat1,SAROP,2013-06-01,-38.1317261,176.2574051
Marine,Cat1,SAROP,2018-07-01,-34.953344,173.527119
Land,Cat1,SAROP,2011-03-01,-36.797341,174.7465894
Land,Cat1,SAROP,2016-06-01,-40.9163651,173.0486535
Land,Cat1,SAROP,2015-08-01,-37.136777,175.542887
Marine,Cat1,SAROP,2016-01-01,-36.828017,174.715361
Marine,Cat1,SAROP,2017-04-01,-36.100829,174.593943
Land,Cat1,SAROP,2012-09-01,-42.2750262,173.7927208
Marine,Cat1,SAROP,2011-04-01,-36.46940185,174.803552
Land,Cat1,SAROP,2011-03-01,-44.95459771,167.3270945
Land,Cat1,SAROP,2015-09-01,-46.486841,169.651553
Land,Cat1,SAROP,2017-02-01,-39.296844,174.063549
Land,Cat1,SAROP,2014-05-01,-36.301051,175.4823955
Land,Cat1,SAROP,2017-10-01,-44.931878,168.792615
Land,Cat1,SAROP,2011-09-01,-39.21356647,175.5272041
Land,Cat1,SAROP,2013-01-01,-37.7915967,174.8990052
Land,Cat1,SAROP,2014-08-01,-45.0807134,168.4716631
Land,Cat2,SAROP,2013-01-01,-44.907,168.033
Land,Cat1,SAROP,2010-08-01,-34.99998,173.944387
Land,Cat2,SAROP,2014-04-01,-44.8721673,170.4345019
Land,Cat1,SAROP,2011-02-01,-43.72657625,170.0991754
Land,Cat1,SAROP,2018-07-01,-36.802605,174.313062
Land,Cat1,SAROP,2014-12-01,-39.1523172,175.633129
Land,Cat1,SAROP,2017-03-01,-34.4366,172.714482
Land,Cat1,SAROP,2013-05-01,-41.7063352,178.2451637
Marine,Cat1,SAROP,2018-01-01,-43.728518,173.143073
Land,Cat1,SAROP,2014-05-01,-43.731669,170.0941
Marine,Cat1,SAROP,2011-02-01,-41.29950054,174.8761697
Land,Cat1,SAROP,2011-04-01,-38.435,174.735
Marine,Cat1,SAROP,2014-12-01,-41.105491,174.834425
Land,Cat1,SAROP,2017-09-01,-37.764466,175.302977
Marine,Cat1,SAROP,2014-01-01,-40.9951348,174.0648758
Marine,Cat1,SAROP,2017-08-01,-34.427444,172.693431
Land,Cat1,SAROP,2012-09-01,-36.7854587,174.8608448
Marine,Cat1,SAROP,2014-01-01,-36.797621,174.9229489
Marine,Cat1,SAROP,2016-05-01,-38.33469,176.778099
Land,Cat1,SAROP,2015-03-01,-45.8822249,170.4939593
Land,Cat1,SAROP,2018-01-01,-36.812187,174.803767
Land,Cat1,SAROP,2012-10-01,-43.28536718,172.5307912
Land,Cat1,SAROP,2017-04-01,-41.333266,174.660264
Land,Cat1,SAROP,2017-12-01,-36.985918,174.471152
Land,Cat1,SAROP,2016-04-01,-42.383713,172.399485
Land,Cat1,SAROP,2014-04-01,-41.8043992,172.8509464
Marine,Cat1,SAROP,2014-12-01,-40.9259601,173.8454082
Land,Cat1,SAROP,2018-10-01,-36.8625,174.874722
Land,Cat1,SAROP,2012-08-01,-41.2333334,174.6333366
Land,Cat1,SAROP,2010-10-01,-40.72620225,175.3566711
Land,Cat1,SAROP,2012-01-01,-42.8399962,171.632332
Land,Cat1,SAROP,2012-02-01,-36.7583313,174.7666635
Land,Cat1,SAROP,2016-07-01,-41.1254606,174.8246971
Land,Cat1,SAROP,2016-12-01,-37.003609,175.8568776
Land,Cat1,SAROP,2012-03-01,-41.3063354,174.8041697
Land,Cat1,SAROP,2019-03-01,-36.8947768,174.720023
Land,Cat1,SAROP,2017-01-01,-43.5607882,171.7298968
Marine,Cat1,SAROP,2017-02-01,-40.5734641,172.5513312
Marine,Cat1,SAROP,2013-02-01,-37.6894444,176.2833373
Marine,Cat1,SAROP,2011-02-01,-38.7865546,177.1304218
Land,Cat1,SAROP,2011-05-01,-42.65574271,171.3875738
Land,Cat1,SAROP,2011-10-01,-36.9388317,174.7813326
Land,Cat1,SAROP,2012-02-01,-39.61600115,176.7740589
Land,Cat1,SAROP,2017-08-01,-43.736528,170.095752
Land,Cat1,SAROP,2017-06-01,-39.29667,174.062713
Land,Cat2,SAROP,2014-04-01,-44.5481773,168.3745315
Land,Cat1,SAROP,2013-03-01,-41.589,173.056
Marine,Cat1,SAROP,2018-06-01,-36.801446,174.683093
Land,Cat1,SAROP,2014-12-01,-43.5871726,172.6979237
Land,Cat1,SAROP,2016-09-01,-36.626931,174.774007
Land,Cat1,SAROP,2017-04-01,-38.321596,175.709902
Land,Cat1,SAROP,2013-10-01,-39.5195512,174.0393711
Land,Cat1,SAROP,2016-01-01,-39.0633332,173.9520047
Land,Cat1,SAROP,2017-02-01,-44.435802,170.8617038
Land,Cat1,SAROP,2012-11-01,-38.51207741,176.9122047
Land,Cat1,SAROP,2016-02-01,-37.7420727,175.2530894
Marine,Cat1,SAROP,2019-03-01,-36.8924824,174.4415892
Land,Cat1,SAROP,2010-10-01,-39.4654183,175.0842708
Land,Cat1,SAROP,2018-04-01,-38.245021,177.312344
Land,Cat1,SAROP,2017-07-01,-38.694305,176.077417
Land,Cat2,SAROP,2015-02-01,-37.8621721,175.3338178
Land,Cat1,SAROP,2014-01-01,-44.9356444,171.1312876
Land,Cat1,SAROP,2016-02-01,-37.7686382,175.2615809
Land,Cat1,SAROP,2014-06-01,-43.1632729,170.6282303
