Environment,Activation,Type,SarCategory,Lat,Long,date,Region
Land,Real distress,PLB,Category 2 SAR,-39.931829,175.0556647,2016-01-01,Manawatu-Wanganui
Land,Real distress,PLB,Category 2 SAR,-38.1078325,178.1366645,2017-01-01,Gisborne
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-44.733333,171.043333,2019-01-01,Canterbury
Air,Mishandling / inadvertent,PLB,Category 2 SAR,-38.80133333,174.8686667,2011-01-01,Manawatu-Wanganui
Water,Real distress,PLB,Category 2 SAR,-39.6021669,176.7188286,2014-01-01,Hawke's Bay
Land,Real distress,EPIRB,Category 2 SAR,-44.7044964,169.835502,2015-01-01,Otago
Water,Malfunction,EPIRB,Category 2 SAR,-37.0030024,175.8450014,2016-01-01,Waikato
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-39.2499971,171.578829,2017-01-01,Unknown
Water,Real distress,EPIRB,Category 2 SAR,-39.51117,177.120006,2018-01-01,Hawke's Bay
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-36.995,174.788333,2019-01-01,Auckland
Water,Undetermined,EPIRB,Category 2 SAR,-34.642,-108.822,2012-01-01,Unknown
Water,Undetermined,EPIRB,Category 2 SAR,-17.528667,-149.577667,2013-01-01,Unknown
Water,Real distress,PLB,Category 2 SAR,-39.6033363,176.7199974,2014-01-01,Hawke's Bay
Land,Real distress,EPIRB,Category 2 SAR,-42.3678313,172.9654963,2015-01-01,Marlborough
Land,Real distress,PLB,Category 2 SAR,-42.8055033,171.6178293,2016-01-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-41.4711677,172.5688377,2017-01-01,Tasman
Land,Real distress,PLB,Category 2 SAR,-42.998334,171.882162,2018-01-01,Canterbury
Land,Real distress,PLB,Category 2 SAR,-40.973333,172.983333,2019-01-01,Tasman
Land,Outside NZSRR,EPIRB,Category 2 SAR,-42.851667,147.773,2012-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-43.2278293,170.7661645,2013-01-01,West Coast
Water,Malfunction,EPIRB,Category 2 SAR,-18.502823,179.318242,2015-01-01,Unknown
Air,Outside NZSRR,ELT,Category 2 SAR,27.092794,-81.355893,2018-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-43.347833,170.472167,2019-01-01,West Coast
Not Determined,Outside NZSRR,EPIRB,Category 2 SAR,-9.426,159.953,2012-01-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-40.9611657,173.1008308,2014-01-01,Tasman
Land,Real distress,PLB,Category 2 SAR,-44.8233298,168.2821697,2015-01-01,Otago
Land,Outside NZSRR,PLB,Category 2 SAR,45.519567,-122.669186,2017-01-01,Unknown
Land,Malfunction,PLB,Category 2 SAR,-40.345836,175.59933,2018-01-01,Manawatu-Wanganui
Air,Outside NZSRR,ELT,Category 2 SAR,45.75,8.75,2019-01-01,Unknown
Not Determined,Outside NZSRR,PLB,Category 2 SAR,-43.607833,146.751167,2013-01-01,Unknown
Air,Outside NZSRR,ELT,Category 2 SAR,16.562259,-95.096574,2017-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.920333,176.9175,2019-01-01,Bay of Plenty
Water,Real distress,EPIRB,Category 2 SAR,-36.4788292,174.0196689,2012-01-01,Northland
Not Determined,Undetermined,EPIRB,Category 2 SAR,-41.186408,174.947959,2015-01-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-40.9549982,173.0336626,2016-01-01,Tasman
Land,Real distress,PLB,Category 2 SAR,-45.6788346,167.0766705,2017-01-01,Southland
Water,Real distress,EPIRB,Category 2 SAR,17.828833,-43.302167,2019-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-38.738,176.852,2011-01-01,Hawke's Bay
Air,Undetermined,ELT,Category 2 SAR,-44.6941659,169.1438346,2012-01-01,Otago
