Environment,Activation,Type,SarCategory,Lat,Long,date,Region
Land,Real distress,PLB,Category 2 SAR,-38.2718361,177.4354991,2015-04-01,Bay of Plenty
Land,Real distress,PLB,Category 2 SAR,-42.70901,170.964772,2016-04-01,West Coast
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-43.4803323,172.5464978,2017-03-01,Canterbury
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-43.383163,170.167834,2018-03-01,West Coast
Water,Undetermined,EPIRB,Category 2 SAR,37,1,2012-04-01,Unknown
Water,Undetermined,EPIRB,Category 2 SAR,-36.800665,174.7861628,2015-04-01,Auckland
Land,Real distress,PLB,Category 2 SAR,-44.13493,171.495348,2016-04-01,Canterbury
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-37.6633298,176.2783321,2017-03-01,Bay of Plenty
Land,Real distress,PLB,Category 2 SAR,-39.145496,175.630005,2018-03-01,Manawatu-Wanganui
Land,Malicious / hoax,PLB,Category 2 SAR,-46.399998,168.3778286,2014-04-01,Southland
Land,Real distress,PLB,Category 2 SAR,-43.2266698,171.9121692,2015-04-01,Canterbury
Not Determined,Undetermined,PLB,Category 2 SAR,-41.185659,174.945839,2017-03-01,Wellington
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.906834,174.768668,2018-03-01,Auckland
Water,Malicious / hoax,EPIRB,Category 2 SAR,-27.595667,153.305333,2019-03-01,Unknown
Water,Undetermined,EPIRB,Category 2 SAR,-38.760167,142.248667,2012-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-44.5499962,168.2121644,2015-04-01,Southland
Air,Real distress,ELT,Category 2 SAR,-37.958538,176.967593,2016-04-01,Bay of Plenty
Water,Outside NZSRR,EPIRB,Category 2 SAR,-16.830675,145.946257,2017-03-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-39.872999,176.246667,2018-03-01,Hawke's Bay
Water,Outside NZSRR,EPIRB,Category 2 SAR,-18.121,178.431667,2019-03-01,Unknown
Water,Outside NZSRR,EPIRB,Category 2 SAR,-23.815138,151.259828,2017-03-01,Unknown
Air,Mishandling / inadvertent,PLB,Category 2 SAR,-43.612168,172.296669,2018-03-01,Canterbury
Land,Real distress,PLB,Category 2 SAR,-44.6055,168.216667,2019-03-01,Otago
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.9421704,175.1679999,2014-04-01,Auckland
Not Determined,Undetermined,EPIRB,Category 2 SAR,-41.185829,174.946501,2016-04-01,Wellington
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-37.366932,175.071568,2017-03-01,Waikato
Land,Real distress,PLB,Category 2 SAR,-41.137829,173.726672,2018-03-01,Marlborough
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-43.485,172.531667,2019-03-01,Canterbury
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-41.5496628,175.4166689,2012-04-01,Wellington
Not Determined,Real distress,EPIRB,Category 2 SAR,-42.4404962,171.1956644,2013-04-01,West Coast
Water,Outside NZSRR,EPIRB,Category 2 SAR,-27.2685,153.095167,2014-04-01,Unknown
Air,Real distress,PLB,Category 2 SAR,-18.085985,144.972795,2015-04-01,Unknown
Water,Outside NZSRR,EPIRB,Category 2 SAR,-20.796192,151.168845,2016-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-45.9778326,167.3763278,2012-04-01,Southland
Land,Outside NZSRR,PLB,Category 2 SAR,-33.500035,150.249865,2016-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-44.908833,167.698833,2019-03-01,Southland
Land,Real distress,PLB,Category 2 SAR,-42.7066686,172.1633336,2012-04-01,Canterbury
Not Determined,Undetermined,PLB,Category 2 SAR,-41.18677,174.9464776,2013-04-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-41.311404,171.2957,2016-04-01,Unknown
Not Determined,Undetermined,ELT,Category 2 SAR,-41.187049,174.946352,2018-03-01,Wellington
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-41.1505038,176.0943281,2012-04-01,Wellington
Land,Outside NZSRR,PLB,Category 2 SAR,-35.269167,150.209,2013-04-01,Unknown
Water,Outside NZSRR,EPIRB,Category 2 SAR,-38.622667,141.324,2014-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-41.3475014,175.7476618,2015-04-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-44.782165,168.03333,2018-03-01,Southland
Land,Real distress,PLB,Category 2 SAR,-44.6145,168.0455,2019-03-01,Southland
Land,Real distress,PLB,Category 2 SAR,-44.2545041,168.1345033,2012-04-01,West Coast
Water,Outside NZSRR,EPIRB,Category 2 SAR,-39.210833,150.749667,2013-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-43.686913,170.036319,2016-04-01,Canterbury
Land,Real distress,PLB,Category 2 SAR,-39.4201686,175.035668,2012-04-01,Manawatu-Wanganui
Water,Undetermined,EPIRB,Category 2 SAR,-18.155,146.226333,2013-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-44.0888314,169.5566723,2014-04-01,Otago
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-40.8960011,175.631002,2015-04-01,Wellington
Water,Malfunction,EPIRB,Category 2 SAR,-36.398467,174.671377,2016-04-01,Auckland
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-43.583336,172.508331,2018-03-01,Canterbury
Land,Outside NZSRR,PLB,Category 2 SAR,-31.077167,152.269167,2012-04-01,Unknown
Water,Outside NZSRR,EPIRB,Category 2 SAR,25.350833,54.892333,2013-04-01,Unknown
Water,Outside NZSRR,EPIRB,Category 2 SAR,-6.660167,147.014667,2014-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-44.2000028,168.7621668,2015-04-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-41.7500017,172.7500031,2017-03-01,Tasman
Air,Undetermined,ELT,Category 2 SAR,-35.243333,173.956667,2019-03-01,Northland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-31.154,175.594,2013-04-01,Unknown
Air,Malfunction,ELT,Category 2 SAR,-28.019781,153.089951,2015-04-01,Unknown
Not Determined,Outside NZSRR,ELT,Category 2 SAR,-17.152507,146.722889,2016-04-01,Unknown
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-36.9216663,174.7683375,2017-03-01,Auckland
Land,Deliberate but questionable need for SAROP,PLB,Category 2 SAR,-44.458833,167.86,2019-03-01,Southland
Land,Outside NZSRR,PLB,Category 2 SAR,-35.491833,148.497667,2012-04-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.8361693,174.7045019,2013-04-01,Auckland
Not Determined,Outside NZSRR,EPIRB,Category 2 SAR,-18.872667,147.7035,2014-04-01,Unknown
Water,Outside NZSRR,EPIRB,Category 2 SAR,-43.544116,146.301763,2015-04-01,Unknown
Water,Outside NZSRR,EPIRB,Category 2 SAR,-17.761066,177.418299,2016-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-42.9155042,171.4178283,2017-03-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-44.515495,170.579996,2018-03-01,Canterbury
Water,Malfunction,EPIRB,Category 2 SAR,-21.705,151.771,2019-03-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.9921705,174.5790049,2013-04-01,Auckland
Water,Real distress,EPIRB,Category 2 SAR,-36.7796674,175.0138308,2014-04-01,Auckland
Land,Real distress,PLB,Category 2 SAR,-41.737833,173.572172,2018-03-01,Marlborough
Land,Real distress,PLB,Category 2 SAR,-42.678834,172.288835,2014-04-01,Canterbury
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-44.7486678,169.1195024,2015-04-01,Otago
Air,Real distress,ELT,Category 2 SAR,-39.6299968,176.168332,2017-03-01,Manawatu-Wanganui
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-40.295,175.8,2019-03-01,Manawatu-Wanganui
Water,Malfunction,EPIRB,Category 2 SAR,-42.45,171.2333333,2011-05-01,West Coast
Water,Undetermined,EPIRB,Category 2 SAR,32.117667,20.054,2013-04-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-20.038333,-174.681167,2014-04-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-35.8149967,174.313336,2017-03-01,Northland
Water,Outside NZSRR,EPIRB,Category 2 SAR,-17.216667,178,2012-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-43.7588303,169.8055038,2013-04-01,West Coast
Land,Outside NZSRR,EPIRB,Category 2 SAR,-33.883043,151.203957,2015-04-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-18.394873,177.225325,2016-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-42.914497,171.565496,2018-03-01,Canterbury
Not Determined,Outside NZSRR,EPIRB,Category 2 SAR,-18.13,178.437,2019-03-01,Unknown
Air,Real distress,ELT,Category 2 SAR,-38.1666634,174.9999999,2012-04-01,Waikato
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-22.259,166.4685,2013-04-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-43.4866667,172.5453374,2014-04-01,Canterbury
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-17.548544,-149.559627,2015-04-01,Unknown
Water,Malfunction,EPIRB,Category 2 SAR,-37.791655,174.753044,2016-04-01,Waikato
Water,Mishandling / inadvertent,PLB,Category 2 SAR,-35.280003,174.1666689,2017-03-01,Northland
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-8.493956,-171.616928,2018-03-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-43.028833,172.9755,2019-03-01,Canterbury
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-42.4498307,171.217832,2012-04-01,West Coast
Water,Undetermined,EPIRB,Category 2 SAR,-45.922667,-152.012,2013-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-44.5478338,168.3744958,2014-04-01,Otago
Water,Real distress,EPIRB,Category 2 SAR,-23.377388,150.515588,2016-04-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-37.5850041,176.2166631,2017-03-01,Bay of Plenty
Land,Malfunction,PLB,Category 2 SAR,-42.204503,172.513337,2018-03-01,Tasman
Land,Real distress,PLB,Category 2 SAR,-41.7555,172.0745,2019-03-01,West Coast
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-43.858,-174.983,2012-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-45.6845003,167.0655003,2015-04-01,Southland
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-41.240509,174.899507,2016-04-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-42.3621641,172.6121629,2017-03-01,Canterbury
Land,Real distress,PLB,Category 2 SAR,-40.91883,175.213338,2018-03-01,Wellington
Air,Real distress,ELT,Category 2 SAR,-44.341667,170.045,2019-03-01,Canterbury
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-14.8615,-158.297333,2014-04-01,Unknown
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-36.9466661,175.0071701,2015-04-01,Auckland
Water,Undetermined,EPIRB,Category 2 SAR,-18.174333,178.393811,2018-03-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-41.956667,173.0455,2019-03-01,Marlborough
Not Determined,Mishandling / inadvertent,PLB,Category 2 SAR,-41.18677,174.9464776,2012-04-01,Wellington
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-18.137,178.388167,2013-04-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.0233299,174.9733287,2017-03-01,Auckland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-45.924503,170.20216,2018-03-01,Otago
Land,Real distress,PLB,Category 2 SAR,-40.7645,172.262167,2019-03-01,Tasman
Air,Malfunction,ELT,Category 2 SAR,-37.9519982,176.9868359,2012-04-01,Bay of Plenty
Land,Real distress,PLB,Category 2 SAR,-34.7111668,172.9233383,2013-04-01,Northland
Land,Deliberate but questionable need for SAROP,PLB,Category 2 SAR,-39.0006693,175.1056635,2014-04-01,Manawatu-Wanganui
Water,Undetermined,EPIRB,Category 2 SAR,-37.205188,175.912849,2016-04-01,Waikato
Water,Real distress,PLB,Category 2 SAR,-36.219997,173.96117,2018-03-01,Northland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.071833,142.742167,2014-04-01,Unknown
Not Determined,Outside NZSRR,EPIRB,Category 2 SAR,-13.83363,-178.331237,2015-04-01,Unknown
Land,Malfunction,PLB,Category 2 SAR,-33.888766,151.329093,2017-03-01,Unknown
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-40.213668,175.368834,2018-03-01,Manawatu-Wanganui
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-41.507504,173.8596641,2013-04-01,Marlborough
Land,Real distress,PLB,Category 2 SAR,-45.4954987,169.101164,2014-04-01,Southland
Land,Real distress,PLB,Category 2 SAR,-39.1333315,175.6554987,2015-04-01,Waikato
Not Determined,Undetermined,EPIRB,Category 2 SAR,-38.6583293,178.0400041,2017-03-01,Gisborne
Not Determined,Outside NZSRR,PLB,Category 2 SAR,53.302754,-1.469128,2018-03-01,Unknown
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-40.803333,175.646667,2019-04-01,Wellington
Air,Outside NZSRR,ELT,Category 2 SAR,-33.872389,151.205956,2015-04-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,46.726543,38.27493,2017-03-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-38.400001,177.755501,2018-03-01,Gisborne
Water,Outside NZSRR,EPIRB,Category 2 SAR,-33.154333,151.5335,2019-04-01,Unknown
Water,Real distress,EPIRB,Category 2 SAR,-37.4999984,178.2499986,2015-04-01,Gisborne
Not Determined,Undetermined,EPIRB,Category 2 SAR,-19.103394,146.849581,2017-03-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-42.893333,171.618833,2018-03-01,West Coast
Air,Outside NZSRR,ELT,Category 2 SAR,31.977,34.794,2019-04-01,Unknown
Water,Outside NZSRR,EPIRB,Category 2 SAR,-20.601833,150.109333,2012-05-01,Unknown
Not Determined,Outside NZSRR,ELT,Category 2 SAR,-17.855667,122.406833,2013-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-38.5954998,175.5733278,2015-04-01,Manawatu-Wanganui
Land,Real distress,PLB,Category 2 SAR,-41.3178296,172.438829,2017-03-01,West Coast
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.065003,175.031665,2018-03-01,Auckland
Land,Outside NZSRR,PLB,Category 2 SAR,-28.817833,153.3955,2019-04-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-35.440169,174.5241642,2013-04-01,Northland
Land,Real distress,PLB,Category 2 SAR,-45.0588303,167.6721642,2014-04-01,Southland
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-14.2779,-170.704867,2017-03-01,Unknown
Land,Malfunction,PLB,Category 2 SAR,-37.752996,177.788335,2018-03-01,Bay of Plenty
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-38.326667,175.201667,2019-04-01,Waikato
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-24.3,-169.8666667,2011-05-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.8321631,174.7683378,2013-04-01,Auckland
Land,Real distress,PLB,Category 2 SAR,-41.683829,172.3206615,2014-04-01,Tasman
Not Determined,Outside NZSRR,EPIRB,Category 2 SAR,-34.377819,136.123147,2015-04-01,Unknown
Air,Outside NZSRR,ELT,Category 2 SAR,-21.966874,149.665584,2017-03-01,Unknown
Water,Malfunction,PLB,Category 2 SAR,-36.846333,174.788667,2019-04-01,Auckland
Water,Outside NZSRR,EPIRB,Category 2 SAR,-23.838833,151.248333,2013-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-43.6154999,169.90667,2015-04-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-44.917271,168.698798,2016-04-01,Otago
Land,Real distress,PLB,Category 2 SAR,-40.8933313,172.2966653,2017-03-01,Tasman
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-44.428332,169.845002,2018-03-01,Canterbury
Air,Outside NZSRR,ELT,Category 2 SAR,-16.229667,141.4295,2014-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-42.914431,171.968909,2016-04-01,Canterbury
Land,Real distress,PLB,Category 2 SAR,-45.734497,170.456672,2017-03-01,Otago
Land,Real distress,PLB,Category 2 SAR,-41.688834,172.97783,2018-03-01,Tasman
Not Determined,Undetermined,PLB,Category 2 SAR,-8.5,-172.5,2014-04-01,Unknown
Air,Outside NZSRR,ELT,Category 2 SAR,-30.946443,-72.783009,2015-04-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-44.656038,169.095744,2016-04-01,Otago
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-40.8733373,174.1599968,2017-03-01,Marlborough
Water,Undetermined,EPIRB,Category 2 SAR,-37.671168,176.169999,2018-03-01,Bay of Plenty
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.8830028,174.8983288,2012-05-01,Auckland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-44.6711709,167.9368356,2013-04-01,Southland
Land,Undetermined,PLB,Category 2 SAR,-38.1336652,168.2483387,2014-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-44.0654972,171.0611685,2015-04-01,Canterbury
Air,Real distress,ELT,Category 2 SAR,-25.749121,131.591407,2016-04-01,Unknown
Land,Deliberate but questionable need for SAROP,PLB,Category 2 SAR,-39.124502,175.655502,2018-03-01,Waikato
Water,Outside NZSRR,EPIRB,Category 2 SAR,22.765,-106.021667,2019-04-01,Unknown
Water,Undetermined,EPIRB,Category 2 SAR,-41.2896687,173.9968375,2012-05-01,Marlborough
Water,Mishandling / inadvertent,PLB,Category 2 SAR,-41.18677,174.9464776,2013-04-01,Wellington
Land,Malfunction,EPIRB,Category 2 SAR,-37.7254981,176.2866655,2015-04-01,Bay of Plenty
Water,Real distress,EPIRB,Category 2 SAR,-34.459836,172.670456,2016-04-01,Northland
Water,Outside NZSRR,EPIRB,Category 2 SAR,24.520245,54.312022,2017-03-01,Unknown
Air,Outside NZSRR,ELT,Category 2 SAR,59.259214,15.154383,2018-03-01,Unknown
Land,Malfunction,PLB,Category 2 SAR,-43.7755,170.568833,2019-04-01,Canterbury
Air,Mishandling / inadvertent,PLB,Category 2 SAR,-36.7916709,174.6278337,2013-04-01,Auckland
Land,Real distress,PLB,Category 2 SAR,-38.2655041,178.0200041,2015-04-01,Gisborne
Land,Real distress,PLB,Category 2 SAR,-39.095461,175.256738,2016-04-01,Manawatu-Wanganui
Not Determined,Mishandling / inadvertent,PLB,Category 2 SAR,-38.6318357,175.919328,2017-03-01,Waikato
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-41.27667,173.241663,2018-03-01,Nelson
Land,Real distress,PLB,Category 2 SAR,-44.623333,168.293333,2019-04-01,Otago
Water,Outside NZSRR,EPIRB,Category 2 SAR,40.881,29.155,2014-04-01,Unknown
Land,Mishandling / inadvertent,EPIRB,Category 2 SAR,-39.7433351,175.6836683,2015-04-01,Manawatu-Wanganui
Land,Real distress,PLB,Category 2 SAR,-43.128343,171.270296,2016-04-01,Canterbury
Land,Malicious / hoax,EPIRB,Category 2 SAR,-35.0533359,173.3833314,2017-03-01,Northland
Land,Real distress,PLB,Category 2 SAR,-42.12333,172.132169,2018-03-01,West Coast
Not Determined,Outside NZSRR,PLB,Category 2 SAR,1.531667,172.708333,2019-04-01,Unknown
Water,Undetermined,EPIRB,Category 2 SAR,-36.9323305,174.7845046,2012-05-01,Auckland
Water,Real distress,EPIRB,Category 2 SAR,36.133333,19.366667,2013-04-01,Unknown
Water,Malfunction,EPIRB,Category 2 SAR,-17.664699,-149.420292,2015-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-42.8033354,171.7066637,2017-03-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-44.71333,168.255837,2018-03-01,Otago
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-45.8555,170.368667,2019-04-01,Otago
Water,Undetermined,PLB,Category 2 SAR,-39.6475008,173.3155003,2012-05-01,Unknown
Not Determined,Undetermined,PLB,Category 2 SAR,-45.014,135.886333,2013-04-01,Unknown
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-41.5000012,173.9999965,2014-04-01,Marlborough
Water,Outside NZSRR,EPIRB,Category 2 SAR,-33.889883,151.195717,2015-04-01,Unknown
Not Determined,Undetermined,PLB,Category 2 SAR,-41.185829,174.946501,2016-04-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-44.51,169.486661,2018-03-01,Otago
Land,Real distress,PLB,Category 2 SAR,-42.528833,172.1945,2019-04-01,Canterbury
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-39.9914976,176.5351684,2012-05-01,Hawke's Bay
Land,Real distress,PLB,Category 2 SAR,-43.8325042,169.1931695,2014-04-01,West Coast
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-39.5701661,176.8046664,2015-04-01,Hawke's Bay
Land,Real distress,PLB,Category 2 SAR,-45.070012,169.187496,2016-04-01,Otago
Air,Real distress,ELT,Category 2 SAR,-42.0415012,171.9513349,2017-03-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-40.943331,175.271164,2018-03-01,Wellington
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-44.7228317,169.2469962,2012-05-01,Otago
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-38.683998,176.060977,2015-04-01,Waikato
Land,Real distress,PLB,Category 2 SAR,-43.528109,172.477548,2016-04-01,Canterbury
Air,Real distress,ELT,Category 2 SAR,-38.435,175.2600011,2017-03-01,Waikato
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-39.6541688,176.7649975,2013-04-01,Hawke's Bay
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,40.75,29.25,2014-04-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-43.60639,172.721064,2016-04-01,Canterbury
Land,Undetermined,PLB,Category 2 SAR,-17.586181,178.458591,2018-03-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-45.868333,170.368333,2019-04-01,Otago
Water,Outside NZSRR,EPIRB,Category 2 SAR,-23.857833,152.210167,2012-05-01,Unknown
Land,Outside NZSRR,PLB,Category 2 SAR,-29.989693,132.860807,2018-03-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-43.3166667,171.6633333,2019-04-01,Canterbury
Air,Malfunction,EPIRB,Category 2 SAR,-37.0219984,174.7818341,2012-05-01,Auckland
Air,Malfunction,ELT,Category 2 SAR,-38.1333315,168.1333359,2013-05-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-43.281424,169.858819,2016-04-01,West Coast
Not Determined,Undetermined,EPIRB,Category 2 SAR,-41.2883317,174.9149945,2017-03-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-45.0021667,168.2733333,2019-04-01,Otago
Air,Mishandling / inadvertent,EPIRB,Category 2 SAR,-37.0081706,174.7843321,2012-05-01,Auckland
Land,Real distress,PLB,Category 2 SAR,-39.2811668,174.9744949,2013-05-01,Manawatu-Wanganui
Land,Real distress,PLB,Category 2 SAR,-38.7833353,177.1078316,2014-05-01,Hawke's Bay
Water,Outside NZSRR,EPIRB,Category 2 SAR,-33.834005,150.99247,2015-04-01,Unknown
Not Determined,Undetermined,EPIRB,Category 2 SAR,-35.8266652,174.2583316,2017-03-01,Northland
Land,Real distress,PLB,Category 2 SAR,-44.090002,169.561163,2018-03-01,Otago
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-21.242358,-175.141966,2019-04-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-40.9666632,175.6166619,2012-05-01,Wellington
Water,Malfunction,PLB,Category 2 SAR,-37.092039,175.41328,2016-04-01,Waikato
Land,Real distress,PLB,Category 2 SAR,-41.362171,173.288835,2018-03-01,Nelson
Land,Undetermined,PLB,Category 2 SAR,-44.975833,171.092667,2019-04-01,Otago
Water,Outside NZSRR,EPIRB,Category 2 SAR,-14.521667,174.338333,2012-05-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-39.2735006,174.9728307,2013-05-01,Manawatu-Wanganui
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-34.924623,138.544026,2015-04-01,Unknown
Land,Outside NZSRR,EPIRB,Category 2 SAR,-13.872124,139.029604,2016-04-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-39.7744961,175.4478366,2017-03-01,Manawatu-Wanganui
Land,Real distress,PLB,Category 2 SAR,-39.13117,176.995499,2018-03-01,Hawke's Bay
Land,Mishandling / inadvertent,EPIRB,Category 2 SAR,-37.741667,175.3165,2019-04-01,Waikato
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-16.827,-151.325,2012-05-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-45.650052,167.459801,2016-04-01,Southland
Land,Deliberate but questionable need for SAROP,PLB,Category 2 SAR,-42.8866645,171.5100056,2017-03-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-42.893333,171.231167,2019-04-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-43.81483333,169.9783333,2011-06-01,Canterbury
Water,Outside NZSRR,EPIRB,Category 2 SAR,-15.624,167.192667,2012-05-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-44.6833326,169.1166681,2013-05-01,Otago
Land,Real distress,PLB,Category 2 SAR,-42.1866678,173.7766721,2014-05-01,Canterbury
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-41.539949,173.932826,2016-04-01,Marlborough
Water,Outside NZSRR,EPIRB,Category 2 SAR,-17.792101,-149.740588,2018-03-01,Unknown
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-46.1199976,168.9245043,2014-05-01,Southland
Land,Malfunction,PLB,Category 2 SAR,-37.22061,175.0296,2016-04-01,Waikato
Land,Real distress,PLB,Category 2 SAR,-42.6255028,172.0778386,2017-04-01,Canterbury
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-38.14783,176.211165,2018-03-01,Bay of Plenty
Land,Real distress,PLB,Category 2 SAR,-42.39,172.357833,2019-04-01,Canterbury
Land,Real distress,PLB,Category 2 SAR,-40.9000033,175.468828,2012-05-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-38.7721676,176.9500026,2013-05-01,Hawke's Bay
Water,Real distress,EPIRB,Category 2 SAR,-20.4595,-174.7675,2014-05-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-39.7006667,176.0873361,2015-04-01,Manawatu-Wanganui
Land,Undetermined,PLB,Category 2 SAR,-37.958836,175.271171,2018-03-01,Waikato
Land,Undetermined,EPIRB,Category 2 SAR,-37.357691,175.072815,2019-04-01,Waikato
Water,Real distress,EPIRB,Category 2 SAR,-34.1708377,176.2463343,2012-05-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-39.5500037,176.4955027,2013-05-01,Hawke's Bay
Land,Real distress,PLB,Category 2 SAR,-42.9233371,171.1211654,2015-04-01,West Coast
Water,Outside NZSRR,EPIRB,Category 2 SAR,-10.212979,142.353925,2016-04-01,Unknown
Land,Undetermined,EPIRB,Category 2 SAR,-35.0318291,173.4056719,2017-04-01,Northland
Land,Real distress,PLB,Category 2 SAR,-46.930004,168.071672,2018-03-01,Southland
Water,Real distress,EPIRB,Category 2 SAR,-18.2265,179.321,2012-05-01,Unknown
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-46.1759988,167.1918354,2013-05-01,Southland
Water,Real distress,EPIRB,Category 2 SAR,-20.530833,-174.855667,2014-05-01,Unknown
